tentativa_id,pedido_id,dia,horario,metodo,status,valor,canal,codigo_erro
"19-0001","19-0001","2026-09-19","08:00:00","cartao","aprovado","100","web",""
"19-0002","19-0002","2026-09-19","08:00:00","cartao","aprovado","100","app",""
"19-0003","19-0003","2026-09-19","08:01:00","cartao","aprovado","100","web",""
"19-0004","19-0004","2026-09-19","08:01:00","cartao","aprovado","100","app",""
"19-0005","19-0005","2026-09-19","08:02:00","cartao","aprovado","100","web",""
"19-0006","19-0006","2026-09-19","08:03:00","cartao","aprovado","100","app",""
"19-0007","19-0007","2026-09-19","08:03:00","cartao","aprovado","100","web",""
"19-0008","19-0008","2026-09-19","08:04:00","cartao","aprovado","100","app",""
"19-0009","19-0009","2026-09-19","08:04:00","cartao","aprovado","100","web",""
"19-0010","19-0010","2026-09-19","08:05:00","cartao","aprovado","100","app",""
"19-0011","19-0011","2026-09-19","08:06:00","cartao","aprovado","100","web",""
"19-0012","19-0012","2026-09-19","08:06:00","cartao","aprovado","100","app",""
"19-0013","19-0013","2026-09-19","08:07:00","cartao","aprovado","100","web",""
"19-0014","19-0014","2026-09-19","08:07:00","cartao","aprovado","100","app",""
"19-0015","19-0015","2026-09-19","08:08:00","cartao","aprovado","100","web",""
"19-0016","19-0016","2026-09-19","08:09:00","cartao","aprovado","100","app",""
"19-0017","19-0017","2026-09-19","08:09:00","cartao","aprovado","100","web",""
"19-0018","19-0018","2026-09-19","08:10:00","cartao","aprovado","100","app",""
"19-0019","19-0019","2026-09-19","08:10:00","cartao","aprovado","100","web",""
"19-0020","19-0020","2026-09-19","08:11:00","cartao","aprovado","100","app",""
"19-0021","19-0021","2026-09-19","08:12:00","cartao","aprovado","100","web",""
"19-0022","19-0022","2026-09-19","08:12:00","cartao","aprovado","100","app",""
"19-0023","19-0023","2026-09-19","08:13:00","cartao","aprovado","100","web",""
"19-0024","19-0024","2026-09-19","08:13:00","cartao","aprovado","100","app",""
"19-0025","19-0025","2026-09-19","08:14:00","cartao","aprovado","100","web",""
"19-0026","19-0026","2026-09-19","08:15:00","cartao","aprovado","100","app",""
